available	categoryId	currencyId	delivery	description	id	name	oldprice	param	pickup	price	store	vendor
1	1276	RUB	true	077-01-RMN-15-KW Ботинки, пол женский, серый, верх Натуральная кожа, подкладка Шерсть	077-01-RMN-15-KW	Материал	6999.00 RUB	Натуральный нубук	true	3499.00 RUB	true	calipso
1	1255	RUB	true	077-01-RTA-01-LK Обувь Полуботинки женские классические Черный верх Натуральная кожа. подкладка Натуральная кожа.	077-01-RTA-01-LK	Материал	8999.00 RUB	Натуральный лак	true	2499.00 RUB	true	calipso
1	1255	RUB	true	077-01-RTA-16-LK Обувь Полуботинки женские классические Синий верх Натуральная кожа. подкладка Натуральная кожа.	077-01-RTA-16-LK	Материал	8999.00 RUB	Натуральный лак	true	2499.00 RUB	true	calipso
1	1255	RUB	true	077-05-RTA-01-LK Обувь Полуботинки женские классические Синий верх Натуральная кожа. подкладка Натуральная кожа.	077-05-RTA-01-LK	Материал	8999.00 RUB	Натуральный лак	true	2499.00 RUB	true	calipso
1	1255	RUB	true	077-05-RTA-16-LK Обувь Полуботинки женские классические Синий верх Натуральная кожа. подкладка Натуральная кожа.	077-05-RTA-16-LK	Материал	9999.00 RUB	Натуральный лак	true	2499.00 RUB	true	calipso
1	1255	RUB	true	077-06-RTA-16-CK Обувь Полуботинки женские классические Синий верх Натуральная кожа. подкладка Натуральная кожа.	077-06-RTA-16-CK	Материал	8999.00 RUB	Натуральный лак	true	2499.00 RUB	true	calipso
1	1276	RUB	true	080-01-RMN-16-NM Ботинки, пол женский, синий, верх Натуральный нубук, подкладка Натуральный мех	080-01-RMN-16-NM	Материал	8499.00 RUB	Натуральный нубук	true	4249.00 RUB	true	calipso
1	1276	RUB	true	080-02-RMN-17-NM Ботинки, пол женский, голубой, верх Натуральный нубук, подкладка Натуральный мех	080-02-RMN-17-NM	Материал	9499.00 RUB	Натуральный нубук	true	5699.00 RUB	true	calipso
1	1280	RUB	true	083-011286-362 Сумка Жен., цвет: черный 29х13х20 см, верх: Искусственная кожа, пр-ль: КИТАЙ	083-011286-362	Материал	4499.00 RUB	Искусственная кожа	true	2249.00 RUB	true	calipso
1	1280	RUB	true	083-031286-362 Сумка Жен., цвет: бежевый 29х13х20 см, верх: Искусственная кожа, пр-ль: КИТАЙ	083-031286-362	Материал	3999.00 RUB	Искусственная кожа	true	1999.00 RUB	true	calipso
1	1276	RUB	true	088-01-TDK-01-KM Ботинки, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	088-01-TDK-01-KM	Материал	15999.00 RUB	Натуральная кожа	true	7999.00 RUB	true	calipso
1	1276	RUB	true	088-02-TDK-01-KM Ботинки, пол женский, черный, верх Натуральная кожа, подкладка Натуральный мех	088-02-TDK-01-KM	Материал	14999.00 RUB	Натуральная кожа	true	8999.00 RUB	true	calipso
1	1308	RUB	true	090-01-RSH-02-NM Обувь Ботинки мужские спортивные мех Коричневый верх Натуральная кожа. подкладка Мех.	090-01-RSH-02-NM	Материал	7499.00 RUB	Натуральный нубук	true	2499.00 RUB	true	calipso
1	1308	RUB	true	092-01-DS-01-KM Ботинки, пол мужской, черный, верх Натуральная кожа, подкладка Натуральный мех	092-01-DS-01-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1308	RUB	true	092-01-DS-02-KM Ботинки, пол мужской, коричневый, верх Натуральная кожа, подкладка Натуральный мех	092-01-DS-02-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1280	RUB	true	094-013986-288 Сумка Жен., цвет: Черный 25х15х21 см, верх: Текстиль., пр-ль: КИТАЙ	094-013986-288	Материал		Текстиль	true	3999.00 RUB	true	velvet
1	1280	RUB	true	094-163986-288 Сумка Жен., цвет: Синий 42х5х27 см, верх: Текстиль., пр-ль: КИТАЙ	094-163986-288	Материал	3999.00 RUB	Текстиль	true	1499.00 RUB	true	velvet
1	1308	RUB	true	099-01-DS-01-KM Ботинки, пол мужской, черный, верх Натуральная кожа, подкладка Натуральный мех	099-01-DS-01-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1276	RUB	true	100-01-ME-01-NA Ботинки, пол женский, черный, верх Натуральный нубук, подкладка Искусственный мех	100-01-ME-01-NA	Материал	6999.00 RUB	Натуральный нубук	true	3499.00 RUB	true	velvet
1	1297	RUB	true	100-01-TDK-01-NM Полусапоги, пол женский, черный, верх Натуральный нубук, подкладка Натуральный мех	100-01-TDK-01-NM	Материал	14999.00 RUB	Натуральный нубук	true	8999.00 RUB	true	calipso
1	1295	RUB	true	100-01-TUN-01-KBM Сапоги, пол женский, черный, верх Натуральная кожа, подкладка Евромех	100-01-TUN-01-KBM	Материал	21999.00 RUB	Натуральная кожа	true	10999.00 RUB	true	calipso
1	1257	RUB	true	"100-01-VG-13-TT Обувь Туфли женские ""слиперы"" Оранжевый верх Текстиль. подкладка Текстиль."	100-01-VG-13-TT	Материал	1999.00 RUB	Текстиль	true	599.00 RUB	true	calipso
1	1308	RUB	true	100-02-DS-01-VM Ботинки, пол мужской, черный, верх Натуральный велюр, подкладка Натуральный мех	100-02-DS-01-VM	Материал	10499.00 RUB	Натуральный велюр	true	5249.00 RUB	true	calipso
1	1258	RUB	true	"100-02-VG-09-TT Обувь Туфли женские ""слиперы"" Салатовый верх Текстиль. подкладка Текстиль."	100-02-VG-09-TT	Материал	1999.00 RUB	Текстиль	true	599.00 RUB	true	calipso
1	1258	RUB	true	"100-02-VG-13-TT Обувь Туфли женские ""слиперы"" Оранжевый верх Текстиль. подкладка Текстиль."	100-02-VG-13-TT	Материал	1999.00 RUB	Текстиль	true	499.00 RUB	true	calipso
1	1308	RUB	true	101-01-DS-16-KM Ботинки, пол мужской, синий, верх Натуральная кожа, подкладка Натуральный мех	101-01-DS-16-KM	Материал	10999.00 RUB	Натуральная кожа	true	5499.00 RUB	true	calipso
1	1258	RUB	true	101-02-VG-16-TT Обувь Полуботинки женские спортивные Синий верх Текстиль. подкладка Текстиль.	101-02-VG-16-TT	Материал	1999.00 RUB	Текстиль	true	599.00 RUB	true	calipso
1	1256	RUB	true	101-03-TD-07-VB Обувь Ботильоны женские деми Зеленый верх Натуральная кожа. подкладка Байка.	101-03-TD-07-VB	Материал	12999.00 RUB	Натуральный велюр	true	3499.00 RUB	true	calipso
1	1269	RUB	true	102-18-BSS-15-PP Босоножки, пол женский, серый, верх Искусственный нубук, подкладка Искусственная кожа	102-18-BSS-15-PP	Материал	4499.00 RUB	Искусственный нубук	true	1349.00 RUB	true	velvet
1	1281	RUB	true	102-19-SCJ-06-PP Сабо, пол женский, белый, верх Искусственная кожа, подкладка Искусственная кожа	102-19-SCJ-06-PP	Материал	3499.00 RUB	Искусственная кожа	true	1049.00 RUB	true	velvet
1	1276	RUB	true	104-01-AM-01-KK Обувь Ботинки женские деми Черный верх Натуральная кожа. подкладка Натуральная кожа.	104-01-AM-01-KK	Материал	7499.00 RUB	Натуральная кожа	true	2499.00 RUB	true	calipso
1	1308	RUB	true	105-01-DS-02-KM Ботинки, пол мужской, коричневый, верх Натуральная кожа, подкладка Натуральный мех	105-01-DS-02-KM	Материал	11499.00 RUB	Натуральная кожа	true	5749.00 RUB	true	calipso
1	1308	RUB	true	105-01-DS-16-KM Ботинки, пол мужской, синий, верх Натуральная кожа, подкладка Натуральный мех	105-01-DS-16-KM	Материал	11499.00 RUB	Натуральная кожа	true	5749.00 RUB	true	calipso
1	1269	RUB	true	109-18-SCJ-03-KK Босоножки, пол женский, бежевый, верх Натуральная кожа, подкладка Натуральная кожа	109-18-SCJ-03-KK	Материал	5499.00 RUB	Натуральная кожа	true	1649.00 RUB	true	velvet
1	1255	RUB	true	110-01-IG-01-PP Обувь Полуботинки женские классические Черный верх Искусcтвенная кожа. подкладка Искусcтвенная кожа.	110-01-IG-01-PP	Материал	4999.00 RUB	Искусственный лак	true	1499.00 RUB	true	cs
